Timestamp(ms),Verificados,Fallidos
0,0,1
202,3,2
403,8,2
604,12,3
806,13,5
1007,17,7
1208,22,7
1409,25,9
1611,29,12
1813,30,16
2015,34,17
2216,37,19
2419,41,20
2620,44,21
2821,46,23
3023,50,23
3224,53,24
3426,58,29
3628,60,31
3829,61,33
4030,66,34
4231,71,36
4432,72,39
4632,75,41
4833,77,43
5034,81,45
5235,84,45
5436,88,47
5637,93,47
5838,98,49
6039,101,49
6240,104,50
6442,109,50
6644,114,53
6845,118,53
7046,120,57
7247,123,58
7448,126,60
7649,128,63
7849,132,64
8051,135,64
8252,139,65
8453,142,66
8654,147,67
8855,150,70
9056,154,72
9259,157,73
9460,160,76
9661,163,77
9862,167,78
10063,172,79
10264,175,81
10465,179,81
10666,181,84
10867,184,87
11068,187,88
11269,190,91
11470,194,92
11671,196,94
11872,199,96
12073,202,96
12274,208,97
12475,211,98
12676,215,100
12878,218,101
13079,221,103
13279,223,106
13480,227,108
13681,231,110
13882,234,111
14083,238,112
14284,242,113
14485,244,114
14685,249,116
14886,252,116
15087,257,116
15288,264,117
15489,269,117
15689,273,118
15890,278,120
16091,280,121
16291,285,122
16493,289,124
16694,292,126
16895,296,126
17098,301,127
17300,303,129
17501,307,130
17702,311,131
17903,313,133
18103,317,134
18304,322,134
18505,328,134
18706,331,135
18907,336,137
19108,340,138
19308,341,141
19510,346,141
19712,350,143
19913,355,143
