[0 ms] Verificados: 0,  Fallidos: 0
[213 ms] Verificados: 0,  Fallidos: 0
[416 ms] Verificados: 2,  Fallidos: 1
[618 ms] Verificados: 4,  Fallidos: 2
[821 ms] Verificados: 5,  Fallidos: 2
[1023 ms] Verificados: 8,  Fallidos: 2
[1226 ms] Verificados: 10,  Fallidos: 2
[1427 ms] Verificados: 13,  Fallidos: 2
[1628 ms] Verificados: 15,  Fallidos: 2
[1828 ms] Verificados: 17,  Fallidos: 2
[2029 ms] Verificados: 19,  Fallidos: 3
[2231 ms] Verificados: 22,  Fallidos: 3
[2434 ms] Verificados: 24,  Fallidos: 3
[2635 ms] Verificados: 27,  Fallidos: 3
[2836 ms] Verificados: 29,  Fallidos: 3
[3037 ms] Verificados: 31,  Fallidos: 3
[3238 ms] Verificados: 33,  Fallidos: 4
[3440 ms] Verificados: 35,  Fallidos: 5
[3641 ms] Verificados: 38,  Fallidos: 6
[3842 ms] Verificados: 39,  Fallidos: 6
[4043 ms] Verificados: 42,  Fallidos: 6
[4245 ms] Verificados: 45,  Fallidos: 6
[4447 ms] Verificados: 46,  Fallidos: 7
[4648 ms] Verificados: 48,  Fallidos: 7
[4848 ms] Verificados: 51,  Fallidos: 7
[5050 ms] Verificados: 54,  Fallidos: 8
[5251 ms] Verificados: 55,  Fallidos: 8
[5454 ms] Verificados: 58,  Fallidos: 8
[5656 ms] Verificados: 60,  Fallidos: 9
[5858 ms] Verificados: 62,  Fallidos: 10
[6060 ms] Verificados: 63,  Fallidos: 11
[6262 ms] Verificados: 64,  Fallidos: 13
[6463 ms] Verificados: 65,  Fallidos: 14
[6664 ms] Verificados: 67,  Fallidos: 14
[6866 ms] Verificados: 69,  Fallidos: 15
[7079 ms] Verificados: 70,  Fallidos: 15
[7299 ms] Verificados: 72,  Fallidos: 17
[7501 ms] Verificados: 74,  Fallidos: 17
[7703 ms] Verificados: 75,  Fallidos: 19
[7904 ms] Verificados: 77,  Fallidos: 20
[8104 ms] Verificados: 78,  Fallidos: 20
[8305 ms] Verificados: 80,  Fallidos: 22
[8506 ms] Verificados: 81,  Fallidos: 22
[8708 ms] Verificados: 83,  Fallidos: 22
[8909 ms] Verificados: 85,  Fallidos: 22
[9110 ms] Verificados: 88,  Fallidos: 22
